x filter(x) xRef y_RA_100 y_RA_256
79.638378 85.649979 80.642247 82.519201 69.653426
79.081581 85.899597 80.626666 82.485165 69.690255
78.526303 86.147171 80.611079 82.445968 69.724771
77.982321 86.393250 80.595486 82.401774 69.757027
77.459171 86.637436 80.579887 82.352837 69.787113
76.965922 86.880005 80.564282 82.299501 69.815155
76.510952 87.120102 80.548672 82.242189 69.841311
76.101745 87.358459 80.533056 82.181392 69.865766
75.744711 87.595917 80.517435 82.117663 69.888730
75.445033 87.830673 80.501809 82.051597 69.910435
75.206540 88.063477 80.486177 81.983824 69.931122
75.031615 88.294266 80.470542 81.914991 69.951046
74.921145 88.524246 80.454901 81.845745 69.970461
74.874495 88.750961 80.439256 81.776722 69.989617
74.889531 88.975815 80.423607 81.708532 70.008757
74.962675 89.199341 80.407953 81.641742 70.028109
75.088995 89.420761 80.392295 81.576863 70.047878
75.262328 89.640228 80.376634 81.514343 70.068247
75.475437 89.857483 80.360969 81.454552 70.089369
75.720191 90.072586 80.345300 81.397776 70.111364
75.987767 90.286041 80.329628 81.344211 70.134319
76.268868 90.496689 80.313953 81.293961 70.158282
76.553957 90.705795 80.298274 81.247030 70.183265
76.833496 90.912903 80.282593 81.203331 70.209242
77.098175 91.117569 80.266908 81.162686 70.236152
77.339151 91.319336 80.251222 81.124830 70.263898
77.548267 91.520340 80.235532 81.089418 70.292353
77.718248 91.718430 80.219841 81.056040 70.321360
77.842890 91.913727 80.204147 81.024227 70.350741
77.917210 92.108078 80.188451 80.993464 70.380298
77.937570 92.298645 80.172753 80.963208 70.409818
77.901771 92.488190 80.157054 80.932897 70.439084
77.809105 92.674423 80.141353 80.901968 70.467873
77.660376 92.859344 80.125650 80.869873 70.495969
77.457879 93.041321 80.109947 80.836091 70.523164
77.205348 93.220840 80.094242 80.800143 70.549266
76.907862 93.398972 80.078537 80.761605 70.574104
76.571720 93.573929 80.062830 80.720121 70.597532
76.204290 93.746628 80.047123 80.675410 70.619434
75.813825 93.916702 80.031416 80.627276 70.639724
75.409261 94.085205 80.015708 80.575612 70.658355
75.000000 94.251373 80.000000 80.520408 70.675315
74.595673 94.414841 79.984292 80.461747 70.690629
74.205908 94.575745 79.968584 80.399808 70.704360
73.840091 94.735016 79.952877 80.334861 70.716609
73.507133 94.891449 79.937170 80.267259 70.727510
73.215255 95.046829 79.921463 80.197438 70.737227
72.971779 95.198593 79.905758 80.125896 70.745956
72.782953 95.348053 79.890053 80.053194 70.753913
72.653792 95.495483 79.874350 79.979933 70.761335
72.587958 95.641129 79.858647 79.906745 70.768470
72.587664 95.783936 79.842946 79.834279 70.775576
72.653622 95.924286 79.827247 79.763183 70.782912
72.785025 96.062683 79.811549 79.694092 70.790733
72.979564 96.198166 79.795853 79.627612 70.799283
73.233482 96.332077 79.780159 79.564304 70.808792
73.541668 96.463379 79.764468 79.504674 70.819467
73.897782 96.591766 79.748778 79.449160 70.831492
74.294405 96.718750 79.733092 79.398123 70.845019
74.723225 96.842331 79.717407 79.351836 70.860168
75.175237 96.963989 79.701726 79.310484 70.877024
75.640962 97.082748 79.686047 79.274152 70.895633
76.110683 97.199875 79.670372 79.242831 70.916004
76.574676 97.313980 79.654700 79.216413 70.938108
77.023452 97.426117 79.639031 79.194701 70.961879
77.447986 97.535278 79.623366 79.177407 70.987215
77.839938 97.642242 79.607705 79.164164 71.013984
78.191854 97.746323 79.592047 79.154537 71.042022
78.497350 97.848145 79.576393 79.148031 71.071145
78.751265 97.946930 79.560744 79.144102 71.101145
78.949785 98.044403 79.545099 79.142178 71.131804
79.090532 98.138504 79.529458 79.141667 71.162893
79.172626 98.229675 79.513823 79.141974 71.194181
79.196699 98.319748 79.498191 79.142515 71.225441
79.164875 98.406586 79.482565 79.142737 71.256454
79.080718 98.490005 79.466944 79.142123 71.287018
78.949143 98.571747 79.451328 79.140212 71.316948
78.776285 98.650925 79.435718 79.136609 71.346086
78.569350 98.728180 79.420113 79.130992 71.374302
78.336434 98.802094 79.404514 79.123125 71.401498
78.086318 98.874191 79.388921 79.112860 71.427610
77.828249 98.943085 79.373334 79.100141 71.452613
77.571711 99.009384 79.357753 79.085008 71.476515
77.326186 99.073975 79.342178 79.067594 71.499366
77.100918 99.136261 79.326610 79.048122 71.521247
76.904679 99.195435 79.311049 79.026900 71.542276
76.745555 99.252899 79.295494 79.004312 71.562601
76.630737 99.307159 79.279946 78.980811 71.582398
76.566348 99.360168 79.264405 78.956906 71.601867
76.557278 99.409912 79.248872 78.933147 71.621224
76.607071 99.457657 79.233346 78.910117 71.640700
76.717828 99.502319 79.217828 78.888411 71.660533
76.890150 99.545547 79.202317 78.868626 71.680961
77.123125 99.585693 79.186814 78.851344 71.702219
