Freq Amp Phase Re(H) Im(H) GroupDelay PhaseDelay 20Log10(Amp)
8.300000e+001 4.779545e-004 -2.725435e+000 -4.371606e-004 -1.932126e-004 5.302819e-003 -5.226102e-003 -6.641227e+001
8.400000e+001 4.477099e-004 -2.730603e+000 -4.104274e-004 -1.788675e-004 5.168126e-003 -5.173679e-003 -6.698007e+001
8.500000e+001 4.179858e-004 -2.735643e+000 -3.840152e-004 -1.650591e-004 5.039499e-003 -5.122248e-003 -6.757677e+001
8.600000e+001 3.887876e-004 -2.740558e+000 -3.579402e-004 -1.517716e-004 4.914808e-003 -5.071782e-003 -6.820575e+001
8.700000e+001 3.601190e-004 -2.745352e+000 -3.322165e-004 -1.389890e-004 4.794560e-003 -5.022257e-003 -6.887108e+001
8.800000e+001 3.319815e-004 -2.750032e+000 -3.068553e-004 -1.266946e-004 4.679697e-003 -4.973650e-003 -6.957772e+001
8.900000e+001 3.043747e-004 -2.754600e+000 -2.818657e-004 -1.148726e-004 4.568239e-003 -4.925935e-003 -7.033183e+001
9.000000e+001 2.772969e-004 -2.759061e+000 -2.572547e-004 -1.035066e-004 4.461360e-003 -4.879092e-003 -7.114110e+001
9.100000e+001 2.507452e-004 -2.763419e+000 -2.330277e-004 -9.258102e-005 4.357782e-003 -4.833097e-003 -7.201535e+001
9.200000e+001 2.247158e-004 -2.767677e+000 -2.091889e-004 -8.208041e-005 4.257912e-003 -4.787929e-003 -7.296733e+001
9.300000e+001 1.992034e-004 -2.771839e+000 -1.857406e-004 -7.198928e-005 4.161848e-003 -4.743569e-003 -7.401406e+001
9.400000e+001 1.742029e-004 -2.775907e+000 -1.626845e-004 -6.229310e-005 4.068415e-003 -4.699994e-003 -7.517889e+001
9.500000e+001 1.497073e-004 -2.779886e+000 -1.400204e-004 -5.297702e-005 3.978835e-003 -4.657186e-003 -7.649514e+001
9.600000e+001 1.257101e-004 -2.783778e+000 -1.177481e-004 -4.402724e-005 3.891377e-003 -4.615125e-003 -7.801260e+001
9.700000e+001 1.022033e-004 -2.787585e+000 -9.586582e-005 -3.542973e-005 3.807829e-003 -4.573794e-003 -7.981070e+001
9.800000e+001 7.917959e-005 -2.791312e+000 -7.437153e-005 -2.717137e-005 3.726646e-003 -4.533175e-003 -8.202773e+001
9.900000e+001 5.663078e-005 -2.794960e+000 -5.326249e-005 -1.923933e-005 3.647849e-003 -4.493249e-003 -8.493895e+001
1.000000e+002 3.454836e-005 -2.798532e+000 -3.253520e-005 -1.162108e-005 3.571544e-003 -4.454001e-003 -8.923145e+001
1.010000e+002 1.292399e-005 -2.802027e+000 -1.218603e-005 -4.304689e-006 3.495759e-003 -4.415411e-003 -9.777207e+001
1.020000e+002 8.251202e-006 3.361374e-001 7.789430e-006 2.721602e-006 2.465890e+000 5.244895e-004 -1.016697e+002
1.030000e+002 2.898593e-005 3.327819e-001 2.739568e-005 9.468935e-006 3.355543e-003 5.142124e-004 -9.075626e+001
1.040000e+002 4.928893e-005 3.294917e-001 4.663753e-005 1.594803e-005 3.290148e-003 5.042330e-004 -8.614501e+001
1.050000e+002 6.916912e-005 3.262679e-001 6.552011e-005 2.216940e-005 3.223819e-003 4.945443e-004 -8.320176e+001
1.060000e+002 8.863533e-005 3.231061e-001 8.404878e-005 2.814291e-005 3.161758e-003 4.851315e-004 -8.104786e+001
1.070000e+002 1.076964e-004 3.200065e-001 1.022290e-004 3.387835e-005 3.099594e-003 4.759871e-004 -7.935598e+001
1.080000e+002 1.263610e-004 3.169665e-001 1.200664e-004 3.938491e-005 3.040082e-003 4.670998e-004 -7.796774e+001
1.090000e+002 1.446379e-004 3.139841e-001 1.375667e-004 4.467148e-005 2.982360e-003 4.584598e-004 -7.679436e+001
1.100000e+002 1.625357e-004 3.110580e-001 1.547357e-004 4.974667e-005 2.926061e-003 4.500584e-004 -7.578102e+001
1.110000e+002 1.800629e-004 3.081864e-001 1.715792e-004 5.461865e-005 2.871583e-003 4.418865e-004 -7.489152e+001
1.120000e+002 1.972277e-004 3.053681e-001 1.881032e-004 5.929538e-005 2.818345e-003 4.339361e-004 -7.410064e+001
1.130000e+002 2.140385e-004 3.026012e-001 2.043136e-004 6.378439e-005 2.766882e-003 4.261989e-004 -7.339016e+001
1.140000e+002 2.305035e-004 2.998847e-001 2.202163e-004 6.809305e-005 2.716566e-003 4.186678e-004 -7.274645e+001
1.150000e+002 2.466306e-004 2.972168e-001 2.358171e-004 7.222828e-005 2.667854e-003 4.113350e-004 -7.215906e+001
1.160000e+002 2.624276e-004 2.945964e-001 2.511221e-004 7.619683e-005 2.620353e-003 4.041938e-004 -7.161981e+001
1.170000e+002 2.779023e-004 2.920223e-001 2.661369e-004 8.000516e-005 2.574103e-003 3.972376e-004 -7.112216e+001
1.180000e+002 2.930621e-004 2.894932e-001 2.808674e-004 8.365943e-005 2.529151e-003 3.904599e-004 -7.066081e+001
1.190000e+002 3.079146e-004 2.870079e-001 2.953194e-004 8.716564e-005 2.485276e-003 3.838549e-004 -7.023139e+001
1.200000e+002 3.224669e-004 2.845653e-001 3.094985e-004 9.052943e-005 2.442625e-003 3.774164e-004 -6.983030e+001
1.210000e+002 3.367260e-004 2.821642e-001 3.234102e-004 9.375630e-005 2.401047e-003 3.711391e-004 -6.945447e+001
1.220000e+002 3.506990e-004 2.798037e-001 3.370602e-004 9.685151e-005 2.360515e-003 3.650176e-004 -6.910131e+001
1.230000e+002 3.643926e-004 2.774827e-001 3.504539e-004 9.982007e-005 2.321054e-003 3.590467e-004 -6.876861e+001
1.240000e+002 3.778135e-004 2.752001e-001 3.635967e-004 1.026669e-004 2.282542e-003 3.532215e-004 -6.845445e+001
